PMID	sentence	sentiment
32445440	Remdesivir for the Treatment of Covid-19 - Final Report.	0.14982091784477233
32445440	We conducted a double-blind, randomized, placebo-controlled trial of intravenous remdesivir in adults who were hospitalized with Covid-19 and had evidence of lower respiratory tract infection.	-0.2737346185922622
32445440	Our data show that remdesivir was superior to placebo in shortening the time to recovery in adults who were hospitalized with Covid-19 and had evidence of lower respiratory tract infection.	0.5818110236978531
32423584	Remdesivir in adults with severe COVID-19: a randomised, double-blind, placebo-controlled, multicentre trial.	-0.2878068300628662
32423584	Remdesivir (GS-5734), a nucleoside analogue prodrug, has inhibitory effects on pathogenic animal and human coronaviruses, including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in vitro, and inhibits Middle East respiratory syndrome coronavirus, SARS-CoV-1, and SARS-CoV-2 replication in animal models.	-0.05166815247535708
32423584	In this study of adult patients admitted to hospital for severe COVID-19, remdesivir was not associated with statistically significant clinical benefits.	0.0767854221343994
32446287	Remdesivir: Review of Pharmacology, Pre-clinical Data, and Emerging Clinical Experience for COVID-19.	0.1470601290464401
32446287	Remdesivir (formerly GS-5734) is a nucleoside analogue pro-drug currently being evaluated in COVID-19 clinical trials.	0.0785296082496643
32446287	In pre-clinical models, remdesivir has demonstrated potent antiviral activity against diverse human and zoonotic β-coronaviruses, including SARS-CoV-2.	0.256109282374382
32446287	In this article, we critically review available data on remdesivir with an emphasis on biochemistry, pharmacology, pharmacokinetics, and in vitro activity against coronaviruses as well as clinical experience and current progress in COVID-19 clinical trials.	0.46074257174650823
32821939	Effect of Remdesivir vs Standard Care on Clinical Status at 11 Days in Patients With Moderate COVID-19: A Randomized Clinical Trial.	0.3076238076400757
32821939	Remdesivir demonstrated clinical benefit in a placebo-controlled trial in patients with severe coronavirus disease 2019 (COVID-19), but its effect in patients with moderate disease is unknown.	-0.13126445967674255
32821939	Among patients with moderate COVID-19, those randomized to a 10-day course of remdesivir did not have a statistically significant difference in clinical status compared with standard care at 11 days after initiation of treatment.	0.06816841728210452
32459919	Remdesivir for 5 or 10 Days in Patients with Severe Covid-19.	-0.07670364107131958
32459919	Remdesivir is an RNA polymerase inhibitor with potent antiviral activity in vitro and efficacy in animal models of coronavirus disease 2019 (Covid-19).	0.3295433368110656
32459919	In patients with severe Covid-19 not requiring mechanical ventilation, our trial did not show a significant difference between a 5-day course and a 10-day course of remdesivir.	-0.19996800158500672
32247927	Remdesivir for severe acute respiratory syndrome coronavirus 2 causing COVID-19: An evaluation of the evidence.	0.23944614683151247
32247927	China has also taken immediate action to put remdesivir into clinical trials with the purpose of applying it into clinical therapeutics for Corona Virus Disease 2019 (COVID-19).	0.12348176419734955
32247927	Further, we analyzed the pharmacological actions and previous trials of remdesivir to identify the feasibility of conducting experiments on COVID-19.	0.1137117048104604
32275812	Compassionate Use of Remdesivir for Patients with Severe Covid-19.	0.21503956032276153
32275812	Remdesivir, a nucleotide analogue prodrug that inhibits viral RNA polymerases, has shown in vitro activity against SARS-CoV-2.	0.046834630260467525
32275812	We provided remdesivir on a compassionate-use basis to patients hospitalized with Covid-19, the illness caused by infection with SARS-CoV-2.	-0.023085383887290922
32275812	In this cohort of patients hospitalized for severe Covid-19 who were treated with compassionate-use remdesivir, clinical improvement was observed in 36 of 53 patients (68%).	0.14472094090938567
32428865	Remdesivir in COVID-19: A critical review of pharmacology, pre-clinical and clinical studies.	0.01436694230079652
32428865	Remdesivir is a broad spectrum anti-viral drug that has shown to inhibit SARS-CoV-2, in vitro and in vivo.	0.01147585187911987
32428865	In absence of any effective treatment for SARS-CoV-2 infection (COVID-19), remdesivir has been tried for a compassionate use in severe COVID-19.	0.21806083249568936
32428865	We aimed to systematically search the literature to understand the pharmacology and clinical effects of remdesivir in patients with COVID-19.	-0.14856133460998536
32428865	"We systematically searched the PubMed, ClinicalTrial.Org and MedRxiv database up till May 5, 2020 using specific key words such as 				S6		
3242or6'GS-5734″lANDu				S6		
32or8				S6		
3242and5retrievedtall	the	articleSpublishedtinAEnglish,language,mthatrhavePreported	theHpharmacologyiandntheoclinicaleoutcomes8of	remdesiviriin7patientsAwithTCOVID-19.anscriptional regulator SarS (Staphylococcus aureus subsp. aureus NCTC 8325)	PR:Q2G1N7	METHODS	S6	Protein Ontology	CUI-less
32428865	gene/protein	760	764	SARS	serine--tRNA ligase, cytoplasmic (mouse)	PR:P26638	METHODS	S6	Protein Ontology	CUI-less
32428865	gene/protein	760	764	SARS	serine--tRNA ligase, cytoplasmic (human)	PR:P49591	METHODS	S6	Protein Ontology	CUI-less
32428865	gene/protein	760	764	SARS	serine--tRNA ligase, cytoplasmic (zebrafish)	PR:Q6DRC0	METHODS	S6	Protein Ontology	CUI-less
32428865	gene/protein	760	764	SARS	serine--tRNA ligase, cytoplasmic	PR:000014459	METHODS	S6	Protein Ontology	CUI-less
32428865	organism	760	770	SARS-CoV-2	severe acute respiratory syndrome coronavirus 2	C000656484	METHODS	S6	MeSH supp (Organisms)	CUI-less
32428865		770	771	65	disease	746	754	COVID-19	COVID-19	C000657245	METHODS	S6	MeSH supp (Diseases)	CUI-less
32428865		754	755		716	726	Remdesivir	remdesivir	2284718	METHODS	S6	RxNorm	CUI-less
32428865	chemical	716	726	Remdesivir	remdesivir	C000606551	METHODS	S6	MeSH supp (Chemicals and Drugs)	C4726677
32428865	chemical	716	726	Remdesivir	remdesivir	CHEBI:145994	METHODS	S6	ChEBI	CUI-less
32428865	chemical	716	726	Remdesivir	GS-5734	C000606551	METHODS	S6	CTD (MESH)	C4279131
32428865		726	727	                                                                                                                                                                                                                           "	0.02110785315990446
32428865	Remdesivir has shown a mixed result in patients with COVID-19 with an acceptable side effect.	-0.006210577144622809
32547625	The journey of remdesivir: from Ebola to COVID-19.	0.14996558725833892
32547625	Remdesivir holds promise for treating COVID-19 based on in vitro activity against SARS-CoV-2, uncontrolled clinical reports, and limited data from randomized trials.	0.05443634719031196
32547625	Overall, current data are insufficient to judge the efficacy of remdesivir for COVID-19, and the results of additional randomized studies are eagerly anticipated.	0.020695022001266467
32547625	We then summarize preclinical and clinical studies of remdesivir for Ebola and COVID-19.	-0.11035543084144592
33055231	Remdesivir against COVID-19 and Other Viral Diseases.	0.09675796627998351
33055231	Remdesivir (GS-5734) is the first approved treatment for severe coronavirus disease 2019 (COVID-19).	0.27603328507423397
33055231	In vivo, remdesivir showed therapeutic and prophylactic effects in animal models of EBOV, MERS-CoV, SARS-CoV, and SARS-CoV-2 infection.	0.1414879471063614
32732352	Remdesivir for severe covid-19: a clinical practice guideline.	-0.012488258137702934
32732352	What is the role of remdesivir in the treatment of severe covid-19?	-0.06739660824775695
32732352	Remdesivir has received worldwide attention as a potentially effective treatment for severe covid-19.	0.4593318271875382
