id_column	sentence	label	annotated_at
499	High doses of hydroxychloroquine do not affect viral clearance in patients with SARS-CoV-2 infection.	negative	2021-01-21 14:20:31
167	Hydroxychloroquine for post-exposure prophylaxis of COVID-19 among naval personnel in Sri Lanka: study protocol for a randomized, controlled trial.	neutral	2021-01-21 14:21:04
403	Here we demonstrate that the combination of hydroxychloroquine and azithromycin has a synergistic effect in vitro on SARS-CoV-2 at concentrations compatible with that obtained in human lung.	positve	2021-01-21 14:21:38
486	Here we assessed the prophylactic/therapeutic efficacy of hydroxychloroquine (HCQ), a drug of interest for COVID-19 management, in 2 animal disease models.	neutral	2021-01-21 14:22:15
402	In vitro testing of combined hydroxychloroquine and azithromycin on SARS-CoV-2 shows synergistic effect.	positve	2021-01-21 14:22:27
108	A review on possible modes of action of chloroquine/hydroxychloroquine: repurposing against SAR-CoV-2 (COVID-19) pandemic.	neutral	2021-01-21 14:22:37
539	Recently, two old antimalarial drugs, hydroxychloroquine and chloroquine, have been found to exert anti-SARS-CoV-2 effects both in vitro and in vivo.	positve	2021-01-21 14:23:10
33	Chloroquine and hydroxychloroquine have been found to be efficient on SARS-CoV-2, and reported to be efficient in Chinese COV-19 patients.	positve	2021-01-21 14:23:21
532	Psychiatric Aspects of Chloroquine and Hydroxychloroquine Treatment in the Wake of Coronavirus Disease-2019: Psychopharmacological Interactions and Neuropsychiatric Sequelae.	neutral	2021-01-21 14:23:30
606	Chloroquine and hydroxychloroquine in the management of COVID-19: Much kerfuffle but little evidence.	negative	2021-01-21 14:23:49
682	A systematic review and meta-analysis was carried out to examine the role of hydroxychloroquine (HCQ) in the treatment of COVID-19.	neutral	2021-01-21 14:28:09
512	The result indicate that Molecules N° 3, 7 and 14 have more binding energy with SARS-CoV-2 main protease recently crystallized (pdb code 6LU7) in comparison with the other imidazole derivatives and the two drug; Chloroquine and hydroxychloroquine.	positve	2021-01-21 14:28:38
613	Data on the efficacy of hydroxychloroquine for the treatment of coronavirus disease 2019 (COVID-19) are needed.	neutral	2021-01-21 14:28:47
663	Hydroxychloroquine (HCQ) has shown some promise in the management of COVID 19.	positve	2021-01-21 14:28:57
645	An Updated Systematic Review of the Therapeutic Role of Hydroxychloroquine in Coronavirus Disease-19 (COVID-19).	neutral	2021-01-21 14:29:22
87	The paucity of clinical evidences of an unequivocal beneficial effect of chloroquine and hydroxychloroquine on COVID-19 has resulted in the passionate use of the drug for moderate to severe cases only and stimulated the need for large clinical trials for this and other molecules.	neutral	2021-01-21 14:30:35
